"drugClassId:ID","name",":LABEL"
"bb2fa8b97118","5-ASA","DrugClass"
"1c317111ee1e","Anti-IL-12/23","DrugClass"
"49d7111d7832","Anti-IL-23","DrugClass"
"519d6ebe44b6","Anti-Integrin","DrugClass"
"7c22719c2905","Anti-TL1A","DrugClass"
"b8aba2ee8955","Anti-TNF","DrugClass"
"bee80c224ae6","Anti-TNF Biosimilar","DrugClass"
"a986b05bf3f4","Biosimilar","DrugClass"
"1ba1c8895aea","Calcineurin Inhibitor","DrugClass"
"d2278d3fb1db","Corticosteroid","DrugClass"
"7cfe5a32d1c7","Immunomodulator","DrugClass"
"9f67ed725ba1","JAK Inhibitor","DrugClass"
"6a2d4c1b3fd1","Microbiome Therapy","DrugClass"
"85c80ccb8c91","Novel Small Molecule","DrugClass"
"68f6ade848da","Nutritional Therapy","DrugClass"
"4a92fac0895a","S1P Modulator","DrugClass"
"18bc967b0036","TYK2 Inhibitor","DrugClass"
