"topicId:ID","name",":LABEL"
"ca0c12eb7769","Abstracts","Topic"
"81943875b70b","Basic Science","Topic"
"d121fc244608","Clinical: Diagnosis and Outcome","Topic"
"7fa0ba7dcd3b","Clinical: Therapy and Observation","Topic"
"0b232c3b5c09","D-ECCO Grant","Topic"
"92a76fdce74e","DOP Session 10: Real World Evidence II","Topic"
"53ee99fb8b8d","DOP Session 11: Real-world Evidence and Digital IBD","Topic"
"0073808984ea","DOP Session 12: Clinical Trials III","Topic"
"2e40992cde4b","DOP Session 13: Fundamental and Translational Science in IBD III","Topic"
"beea6c9e4432","DOP Session 14: Clinical IBD and Novel Targets","Topic"
"c4ffab388857","DOP Session 15: IBD Complications and Surgical Management","Topic"
"e9378ca62801","DOP Session 16: Microbiome and Host-Microbe Interactions in IBD","Topic"
"bf24aa6e041a","DOP Session 1: Clinical Trials I","Topic"
"1e0af6ba3292","DOP Session 2: Diagnostics, Biomarkers and Monitoring I","Topic"
"2374c91ff8fa","DOP Session 3: Fundamental and Translational Science in IBD I","Topic"
"9bda96831b57","DOP Session 4: Real-world Evidence I","Topic"
"a7897315b7c8","DOP Session 5: IBD in Special Populations","Topic"
"15447a86d7c0","DOP Session 6: Genetics and Omics in IBD","Topic"
"63b4d3632cbe","DOP Session 7: Clinical Trials II","Topic"
"69fb4e36b097","DOP Session 8: Diagnostics, Biomarkers and Monitoring II","Topic"
"83cecb9dd1d5","DOP Session 9: Fundamental and Translational Science in IBD II","Topic"
"41e794b8ca01","ECCO Fellowship","Topic"
"b39fc46cd076","ECCO Fellowships & Grants","Topic"
"491f744ea167","ECCO Global Grant","Topic"
"dd327481d77d","ECCO Grant","Topic"
"8d9a502bf2a2","ECCO Pioneer Award","Topic"
"336f9001693a","Epidemiology","Topic"
"d336aba0d75b","Genetics","Topic"
"4ee0e580e5aa","Holistic IBD Care - Session 10: Holistic Approach - Multidisciplinary Team","Topic"
"1fa40363caa6","Holistic IBD Care - Session 11: Holistic Approach - Surgery","Topic"
"bdcbfb5deed8","Holistic IBD Care - Session 1: Holistic Approach - Patient-Centered","Topic"
"ca5c2481ca60","Holistic IBD Care - Session 2: Holistic IBD Care - Focus on Strategy I","Topic"
"572cd5349964","Holistic IBD Care - Session 3: Holistic IBD Care - Focus on Strategy II","Topic"
"279cc26cd8b8","Holistic IBD Care - Session 4: Holistic Approach - Treatment I","Topic"
"4381a8cfb4f0","Holistic IBD Care - Session 5: Holistic Approach - Treatment II","Topic"
"40089cce2030","Holistic IBD Care - Session 6: Holistic Approach - Broadening Perspectives","Topic"
"58f892de6163","Holistic IBD Care - Session 7: Holistic Approach - Evaluating Paediatric CD","Topic"
"5a4ebf6b44a9","Holistic IBD Care - Session 9: Basic Science: Holistic Science - The Forgotten B Cell","Topic"
"bf42e9cdff13","IIS Registry Grant","Topic"
"619db338ca21","Microbiology","Topic"
"6e922c657d46","N-ECCO Grant","Topic"
"38eb78a5e7c2","Nurses Presentations","Topic"
"cf35441f9b75","Session","Topic"
"5fa45903aa17","i1000","Topic"
"8785354dfc91","i1002","Topic"
"018604610f7f","i1010","Topic"
"0d5ec46f7004","i1012","Topic"
"23ecc011d5dd","i2038","Topic"
"dd2816a7d522","i2410","Topic"
"e4104423bb53","i2726","Topic"
